EXTERNALIDENTIFIER,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
575782850,11,9,14,14,9,1,1.65,1.65,PICK_MODULE,184.56,92.50909091,4,2,0,1,MATRIX,Y
575647253,18,12,5.25,18,5.25,2,2.81,5.62,PICK_MODULE,133.24,83.92727273,5,2,1,1,MATRIX,Y
575491304,13,5.25,9.75,13,5.25,1,7.07,7.07,PALLET_FLOW_MODULE,33.67,79.76363636,8,4,1,2,MATRIX,Y
575285906,10,10,7.25,10,7.25,2,4.31,8.63,PICK_MODULE,11.36,73.01818182,7,4,1,2,MATRIX,Y
573314583,14.25,7.75,7.75,14.25,7.75,3,0.95,2.85,PICK_MODULE,1212.27,70.41818182,6,3,1,2,MATRIX,Y
574978619,11,12,2.75,12,2.75,4,3.06,12.24,PICK_MODULE,85.92,68.85454545,14,7,2,4,MATRIX,Y
574662788,7,6.5,12.5,12.5,6.5,4,1.15,4.62,PICK_MODULE,159.3,60.25454545,9,5,1,2,MATRIX,Y
573125285,7.5,2,13,13,2,6,0.7,4.21,PICK_MODULE,303.99,57.83636364,27,14,3,7,MATRIX,Y
568347796,5.25,7,5.25,7,5.25,2,1,2,PICK_MODULE,80.49,56.58181818,27,14,3,7,MATRIX,Y
574870041,2.5,10.5,4.25,10.5,2.5,9,2.01,18.06,PICK_MODULE,544.48,54.72727273,47,24,6,12,MATRIX,Y
1073833,9.5,10,9.5,10,9.5,1,20.07,20.07,OFFLINE_PICK,78.49,52.81818182,6,3,1,1,MATRIX,Y
575425639,11.5,8,3,11.5,3,3,0.55,1.65,PICK_MODULE,912.2,52.07272727,19,10,2,5,MATRIX,Y
576930061,4,9.5,4,9.5,4,1,1.71,1.71,PICK_MODULE,36.84,50.41818182,35,18,4,9,MATRIX,Y
9201717,9.5,12,9.5,12,9.5,1,23.88,23.88,OFFLINE_PICK,42.93,49.4,5,2,1,1,MATRIX,Y
575897378,14,11,10,14,10,1,3.26,3.26,PICK_MODULE,23.8,44.81818182,3,2,0,1,MATRIX,Y
566852280,13,13,14,14,13,1,11.03,11.03,OFFLINE_PICK,32.35,42.89090909,2,1,0,1,MATRIX,Y
555810422,10,4,11,11,4,2,1.86,3.71,PICK_MODULE,23.32,42.32727273,12,6,1,3,MATRIX,Y
563795979,6,8,2,8,2,6,0.5,3.01,PICK_MODULE,76.69,41.67272727,55,28,6,14,MATRIX,Y
