EXTERNALIDENTIFIER,LONGDESCRIPTION,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
575782850,Scott Paper Towels  Choose A Sheet  6 Double Rolls (=12 Regular Rolls),11,9,14,14,9,1,1.65,1.65,PICK_MODULE,184.56,92.50909091,4,2,0,1,MATRIX,Y
575647253,ProjeX   Image Projecting Arcade Game,18,12,5.25,18,5.25,2,2.81,5.62,PICK_MODULE,133.24,83.92727273,5,2,1,1,MATRIX,Y
575491304,Ball Glass Mason Jar W/Lid & Band  Regular Mouth  16 Ounces  12 Count,13,5.25,9.75,13,5.25,1,7.07,7.07,PALLET_FLOW_MODULE,33.67,79.76363636,8,4,1,2,MATRIX,Y
575285906,Ryan s World Super Surprise Safe,10,10,7.25,10,7.25,2,4.31,8.63,PICK_MODULE,11.36,73.01818182,7,4,1,2,MATRIX,Y
573314583,Disney Pixar Toy Story Stunt Racer Duke Caboom Figure with Launcher,14.25,7.75,7.75,14.25,7.75,3,0.95,2.85,PICK_MODULE,1212.27,70.41818182,6,3,1,2,MATRIX,Y
574978619,Kinetic Sand  Sandisfying Set with 2lbs of Sand and 10 Tools  for Kids Aged 3 and Up,11,12,2.75,12,2.75,4,3.06,12.24,PICK_MODULE,85.92,68.85454545,14,7,2,4,MATRIX,Y
574662788,,7,6.5,12.5,12.5,6.5,4,1.15,4.62,PICK_MODULE,159.3,60.25454545,9,5,1,2,MATRIX,Y
573125285,Imaginext Toy Story Deluxe Figure Pack,7.5,2,13,13,2,6,0.7,4.21,PICK_MODULE,303.99,57.83636364,27,14,3,7,MATRIX,Y
568347796,Boxer   Interactive A.I. Robot Toy (Blue) with Personality and Emotions  for Ages 6 and Up,5.25,7,5.25,7,5.25,2,1,2,PICK_MODULE,80.49,56.58181818,27,14,3,7,MATRIX,Y
574870041,Spic and Span Cinch Glass Cleaner  32.0 FL OZ,2.5,10.5,4.25,10.5,2.5,9,2.01,18.06,PICK_MODULE,544.48,54.72727273,47,24,6,12,MATRIX,Y
1073833,BLUEDEF Diesel Exhaust Fluid  2.5 gal,9.5,10,9.5,10,9.5,1,20.07,20.07,OFFLINE_PICK,78.49,52.81818182,6,3,1,1,MATRIX,Y
575425639,Pollyville Arcade Playset with Micro Polly & Lila Dolls,11.5,8,3,11.5,3,3,0.55,1.65,PICK_MODULE,912.2,52.07272727,19,10,2,5,MATRIX,Y
576930061,Ball Glass Mason Jar W/Lid & Band  Wide Mouth  64 Ounces  6 Count,4,9.5,4,9.5,4,1,1.71,1.71,PICK_MODULE,36.84,50.41818182,35,18,4,9,MATRIX,Y
9201717,LouAna Peanut Oil  3 Gallon,9.5,12,9.5,12,9.5,1,23.88,23.88,OFFLINE_PICK,42.93,49.4,5,2,1,1,MATRIX,Y
575897378,Great Value Ultra Strong Paper Towels  Split Sheets  6 Double Rolls,14,11,10,14,10,1,3.26,3.26,PICK_MODULE,23.8,44.81818182,3,2,0,1,MATRIX,Y
566852280,Farberware 3.2 Quart Digital Oil Less Fryer  White,13,13,14,14,13,1,11.03,11.03,OFFLINE_PICK,32.35,42.89090909,2,1,0,1,MATRIX,Y
555810422,Revlon One Step Hair Dryer & Volumizer Hot Air Brush  Black,10,4,11,11,4,2,1.86,3.71,PICK_MODULE,23.32,42.32727273,12,6,1,3,MATRIX,Y
563795979,Easy Bake Ultimate Oven Chocolate Truffles Refill Pack,6,8,2,8,2,6,0.5,3.01,PICK_MODULE,76.69,41.67272727,55,28,6,14,MATRIX,Y
575813829,STANLEY 1000/500 Amp Jump Starter w/120 PSI Compressor (J5C09),14,8.5,11.5,14,8.5,1,17.01,17.01,PICK_MODULE,27.39,41.25454545,4,2,0,1,MATRIX,Y
575782854,Viva Signature Cloth Paper Towels  Choose A Sheet  6 Double Rolls (=12 Regular Rolls),11,9.25,14.5,14.5,9.25,1,3.11,3.11,PICK_MODULE,31.51,37.56363636,4,2,0,1,MATRIX,Y
575024270,Charmin Ultra Strong Toilet Paper  12 Super Mega Rolls = 72 Regular Rolls,16,10,8.5,16,8.5,1,5.57,5.57,PICK_MODULE,17.71,36.63636364,4,2,0,1,MATRIX,Y
575159953,Ryans World Mystery Figs,16,3,13,16,3,4,1.6,6.42,PICK_MODULE,74.95,36.36363636,8,4,1,2,MATRIX,Y
566261800,LEGO Architecture Shanghai21039,7.5,3,10.25,10.25,3,3,1.6,4.81,PICK_MODULE,732,35.90909091,23,12,3,6,MATRIX,Y
574642249,Blinger Diamond Collection Glam Styling Tool   Load  Click  Bling! Hair  Fashion  Anything!,11,2.25,10.5,11,2.25,4,0.8,3.2,PICK_MODULE,370.84,35.23636364,20,10,2,5,MATRIX,Y
554897320,Equate Maximum Strength Sensitive Extra Whitening Toothpaste with Fluoride  4 Oz Tube,1,7,1,7,1,12,0.25,3,PICK_MODULE,154.01,34.69090909,750,380,88,187,MATRIX,Y
564257074,V8 +Energy Sparkling Healthy Energy Drink  Natural Energy from Tea  Orange Pineapple  8.4 Ounce Can (Pack of 4),4.25,4,5.25,5.25,4,6,2.51,15.04,PICK_MODULE,24.43,34.69090909,59,30,7,15,MATRIX,Y
574889876,Toy Story 4 Craft Creativity Art Set: Make Your Own Forky and Other Characters,11,2,8,11,2,5,0.42,2.08,PICK_MODULE,79.84,33.09090909,30,15,4,7,MATRIX,Y
555975273,VTech  Roll & Surprise Animal Train  Learning Toy  Train Toy,12,9,5,12,5,2,2.01,4.01,PICK_MODULE,774.06,32.98181818,10,5,1,2,MATRIX,Y
567995447,Husky Tall Kitchen Expandable Drawstring Trash Bags  13 Gallon  144 Count,9,5,10,10,5,2,6.52,13.04,PICK_MODULE,34.17,32.81818182,12,6,1,3,MATRIX,Y
569955970,Star Wars The Vintage Collection Imperial Combat Assault Tank,16.75,9.75,4.5,16.75,4.5,2,2.51,5.01,PICK_MODULE,139.54,32.65454545,7,4,1,2,MATRIX,Y
567406540,Bounty Paper Napkins  White  600 Count,18,6,12,18,6,1,2.96,2.96,PICK_MODULE,14.23,32.45454545,4,2,0,1,MATRIX,Y
574165174,Zuru Pets Alive Boppi the Booty Shakin Llama   Walmart Exclusive,12.25,12.5,6.5,12.5,6.5,1,2.16,2.16,PICK_MODULE,132.25,31.49090909,5,3,1,1,MATRIX,Y
556319377,Tramontina 9 Piece Non stick Cookware Set  Red,12,9.5,13,13,9.5,2,8.63,17.26,OFFLINE_PICK,35.1,31.43636364,4,2,0,1,MATRIX,Y
572624663,Ryans World Combo Panda Airlines,16.75,6,11,16.75,6,2,2.93,5.86,PICK_MODULE,342.27,30.61818182,5,2,1,1,MATRIX,Y
554243693,Filtrete 20x20x1  Clean Living Dust Reduction HVAC Furnace Air Filter  300 MPR  1 Filter,19.7,0.7,19.7,19.7,0.7,4,0.04,0.16,PICK_MODULE,33.44,29.94545455,19,10,2,5,MATRIX,Y
